,model,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth,MAE_train,MAE_valid,MAE_test,RMSE_train,RMSE_valid,RMSE_test
111,config_22,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.0856104799699935,1.6117234300205314,1.5740730607137348,1.4304186972067983,2.0520118568773342,2.0000288946679214
112,config_22,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.028478946064442,1.680158903387656,1.2851735160281004,1.37444315979338,2.099498572797337,1.6843295015068018
113,config_22,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.027580160993125,1.421212752940067,1.369470264202631,1.3807902803405354,1.8375398462329402,1.7660488459017734
114,config_22,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,0.9588226358934215,1.235067916165748,1.5094654096104743,1.286888724186159,1.6456650183168728,1.8784716842983187
115,config_23,,,,,,,,,,,,,,,,,,,0,32.0,0.005,16.0,3.0,24,10,WaveNet,1,24,2,1.4208741188049316,1.570259690284729,1.7578339576721191,1.832904577255249,1.9938019514083862,2.171039581298828
116,config_23,,,,,,,,,,,,,,,,,,,0,32.0,0.005,16.0,3.0,24,10,WaveNet,1,24,2,1.4858416318893433,1.6395279169082642,1.6716104745864868,1.9139928817749023,2.070554733276367,2.093021869659424
117,config_23,,,,,,,,,,,,,,,,,,,0,32.0,0.005,16.0,3.0,24,10,WaveNet,1,24,2,1.5693758726119995,1.7552106380462646,1.3759095668792725,2.046412706375122,2.136249303817749,1.7994955778121948
118,config_23,,,,,,,,,,,,,,,,,,,0,32.0,0.005,16.0,3.0,24,10,WaveNet,1,24,2,1.4786819219589233,1.3933182954788208,1.3437646627426147,1.967397928237915,1.790611743927002,1.7259718179702759
119,config_23,,,,,,,,,,,,,,,,,,,0,32.0,0.005,16.0,3.0,24,10,WaveNet,1,24,2,1.3647085428237915,1.2766242027282715,1.5023722648620605,1.8000822067260742,1.695535659790039,1.8925107717514038
120,config_24,,,,,,,,,,,,,,,,,,,0,32.0,0.001,16.0,3.0,24,10,WaveNet,1,24,8,1.6530848741531372,1.626168131828308,1.9287115335464478,2.1422312259674072,2.0439391136169434,2.3310976028442383
