,model,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth,MAE_train,MAE_valid,MAE_test,RMSE_train,RMSE_valid,RMSE_test
79,config_15,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,10,106.80842590332031,223.55548095703125,359.4218444824219,158.9122772216797,277.4565734863281,398.8033752441406
80,config_16,32.0,0.005,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,130.19970703125,73.9281997680664,94.17539978027344,181.33340454101562,122.30187225341797,120.8719711303711
81,config_16,32.0,0.005,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,133.5553741455078,73.70182037353516,149.72792053222656,187.0368194580078,107.98978424072266,185.68287658691406
82,config_16,32.0,0.005,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,137.59652709960938,119.39924621582031,216.20750427246094,197.91514587402344,144.23818969726562,257.0577697753906
83,config_16,32.0,0.005,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,133.1146240234375,123.08136749267578,289.9490661621094,187.60707092285156,160.6405029296875,343.1138610839844
84,config_16,32.0,0.005,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,117.00409698486328,212.61036682128906,375.734375,166.11724853515625,269.21148681640625,411.1831359863281
85,config_17,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,120,10,MHCNN,1,120,1,80.45697021484375,85.05464935302734,497.3588562011719,113.96414947509766,127.22233581542969,559.0131225585938
86,config_17,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,120,10,MHCNN,1,120,1,73.29387664794922,283.51812744140625,538.4481811523438,108.36005401611328,425.54376220703125,596.2049560546875
87,config_17,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,120,10,MHCNN,1,120,1,68.0003662109375,457.82379150390625,301.4660949707031,102.38751220703125,516.8197631835938,367.1068115234375
88,config_17,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,120,10,MHCNN,1,120,1,68.92961883544922,83.0632095336914,260.72271728515625,103.53211975097656,124.35598754882812,327.1017761230469
89,config_17,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,120,10,MHCNN,1,120,1,60.432960510253906,191.200927734375,368.2519226074219,89.08120727539062,268.57330322265625,420.35552978515625
90,config_18,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,20,145.1873321533203,83.02608489990234,74.36727142333984,196.4761505126953,124.1055679321289,104.46601867675781
91,config_18,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,20,147.74459838867188,78.08946990966797,130.66024780273438,196.91375732421875,112.70418548583984,168.53952026367188
92,config_18,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,20,130.32955932617188,75.94950866699219,180.9626922607422,184.75881958007812,103.76773071289062,227.64036560058594
93,config_18,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,20,124.89019775390625,125.77086639404297,290.9732666015625,182.65696716308594,162.16571044921875,341.4012145996094
94,config_18,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,20,124.2693099975586,216.26663208007812,385.5811767578125,174.42599487304688,277.6320495605469,425.1581726074219
95,config_19,,,,,,,,,,,,,,,,,,,0,32.0,0.001,16.0,3.0,120,10,WaveNet,1,120,5,115.36595153808594,70.6375961303711,63.92116165161133,155.14178466796875,93.12852478027344,92.13858032226562
96,config_19,,,,,,,,,,,,,,,,,,,0,32.0,0.001,16.0,3.0,120,10,WaveNet,1,120,5,108.36536407470703,70.1739273071289,99.86741638183594,151.21209716796875,99.7735595703125,137.62486267089844
97,config_19,,,,,,,,,,,,,,,,,,,0,32.0,0.001,16.0,3.0,120,10,WaveNet,1,120,5,95.54652404785156,79.541259765625,171.14727783203125,134.26455688476562,112.9267578125,220.34307861328125
98,config_19,,,,,,,,,,,,,,,,,,,0,32.0,0.001,16.0,3.0,120,10,WaveNet,1,120,5,95.09431457519531,106.26670837402344,209.46981811523438,137.8041229248047,149.65597534179688,258.6348876953125
99,config_19,,,,,,,,,,,,,,,,,,,0,32.0,0.001,16.0,3.0,120,10,WaveNet,1,120,5,83.52217864990234,171.50967407226562,244.42681884765625,125.21595001220703,221.4962615966797,293.3382873535156
100,config_20,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,20,100.03087615966797,96.25265502929688,107.42567443847656,131.53941345214844,127.37405395507812,141.53213500976562
101,config_20,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,20,107.64119720458984,92.11259460449219,117.64122009277344,143.77716064453125,139.86447143554688,155.99143981933594
102,config_20,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,20,83.1845474243164,88.1600341796875,186.77676391601562,119.2259292602539,119.34650421142578,246.16659545898438
103,config_20,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,20,75.41078186035156,112.716552734375,270.08966064453125,105.90603637695312,148.74072265625,324.9266052246094
104,config_20,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,20,77.02022552490234,173.81275939941406,235.7523193359375,108.55574798583984,234.5721893310547,291.8424987792969
105,config_21,,,gbdt,0.8,0.05,12.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,108.99058032575205,69.10881427098512,77.17022902588859,144.1275040042365,99.60077734603503,108.20803839555971
106,config_21,,,gbdt,0.8,0.05,12.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,102.5022461944406,55.79921583503011,113.25912681262182,140.41077639823627,88.84806145752124,152.26232781805538
107,config_21,,,gbdt,0.8,0.05,12.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,92.80018951006427,73.65098882638792,167.94522559379666,132.25833684424293,100.79996913969121,212.6234617842921
108,config_21,,,gbdt,0.8,0.05,12.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,85.05807914002443,106.3475798878887,212.36173304978877,122.52299942608518,142.1833560516968,263.8031414259985
109,config_21,,,gbdt,0.8,0.05,12.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,76.49165266483054,175.30808943797894,250.5058695283743,108.70896534498254,233.0030934659718,289.2790858945973
